Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9428166,AIR_11,REGION,AFR,YEAR,,,SEX,SEX_MLE,2013,GHECAUSE,GHECAUSE_GHE000680,,,,,3451 [2651-4383],3450.544,2650.798,4383.136,,2024-10-03T16:28:23.683+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9428203,AIR_11,COUNTRY,SVK,YEAR,EUR,Europe,SEX,SEX_BTSX,2010,GHECAUSE,GHECAUSE_GHE000390,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9428708,AIR_11,COUNTRY,SEN,YEAR,AFR,Africa,SEX,SEX_MLE,2011,GHECAUSE,GHECAUSE_GHE001180,,,,,284 [173-481],284.068,172.9,481.233,,2024-10-03T16:28:23.683+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9429091,AIR_11,COUNTRY,WSM,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2010,GHECAUSE,GHECAUSE_GHE000680,,,,,6 [5-8],6.474,4.894,8.089,,2024-10-03T16:28:23.683+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9429359,AIR_11,COUNTRY,SRB,YEAR,EUR,Europe,SEX,SEX_MLE,2016,GHECAUSE,GHECAUSE_GHE001130,,,,,1397 [711-2278],1397.085,710.603,2278.115,,2024-10-03T16:28:23.683+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9429363,AIR_11,COUNTRY,SYC,YEAR,AFR,Africa,SEX,SEX_MLE,2015,GHECAUSE,GHECAUSE_GHE001180,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9429556,AIR_11,COUNTRY,GUY,YEAR,AMR,Americas,SEX,SEX_FMLE,2014,GHECAUSE,GHECAUSE_GHE001140,,,,,59 [28-110],59.012,28.143,109.885,,2024-10-03T16:28:23.683+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9429595,AIR_11,REGION,EUR,YEAR,,,SEX,SEX_FMLE,2012,GHECAUSE,GHECAUSE_GHE000680,,,,,1680 [396-4022],1680.299,396.068,4021.931,,2024-10-03T16:28:23.683+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9430436,AIR_11,COUNTRY,GAB,YEAR,AFR,Africa,SEX,SEX_FMLE,2014,GHECAUSE,GHECAUSE_GHE000000,,,,,175 [62-318],174.994,61.736,318.026,,2024-10-03T16:28:23.683+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9430880,AIR_11,COUNTRY,TON,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2011,GHECAUSE,GHECAUSE_GHE001140,,,,,8 [4-16],8.193,3.514,15.667,,2024-10-03T16:28:23.683+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9430915,AIR_11,COUNTRY,MYS,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2010,GHECAUSE,GHECAUSE_GHE001130,,,,,252 [0-1101],252.409,0,1100.643,,2024-10-03T16:28:23.683+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
