,"Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)","Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)"
"Countries, territories and areas","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","4.05","4.25","1.78","1.91","2.32","2.14","2.01","1.86","1.78","1.37","2.19","2.26","2.51","3.00","2.61","2.72","3.37","3.60","5.46","1.21","",""
"Albania","9.14","9.19","10.07","9.89","9.51","9.89","8.80","8.17","8.83","8.70","8.29","8.09","7.22","7.25","9.38","9.03","9.30","9.35","9.00","8.21","8.42","8.17"
"Algeria","8.82","8.83","8.83","10.61","10.61","10.61","10.60","11.42","11.70","10.06","9.03","9.19","8.64","7.69","7.63","7.85","7.76","8.67","9.44","7.97","9.27","8.78"
"Andorra","15.73","14.68","14.59","14.54","14.12","11.51","15.76","21.67","11.19","15.34","23.77","24.47","16.82","24.75","21.77","23.40","18.84","27.78","30.26","30.31","18.40","30.57"
"Angola","8.78","7.31","5.51","5.36","5.36","5.43","4.56","3.62","4.58","4.20","4.58","4.25","5.78","4.06","4.52","4.72","4.82","5.66","4.26","4.19","5.97","2.74"
"Antigua and Barbuda","15.54","13.78","11.30","13.07","11.61","11.61","11.82","15.11","13.30","14.63","12.99","13.90","6.33","8.08","8.45","8.37","11.53","12.13","12.45","10.65","12.12","11.86"
"Argentina","16.22","15.74","16.13","15.48","16.04","15.52","16.50","16.29","16.54","16.66","16.28","16.69","16.42","14.66","14.40","15.10","16.02","16.26","17.13","18.46","17.37","17.82"
"Armenia","7.63","7.69","5.67","5.13","5.27","6.05","6.12","6.28","5.78","7.04","6.70","6.44","6.34","6.69","7.20","7.93","7.44","6.28","5.38","5.33","5.66","3.87"
"Australia","19.32","17.06","17.11","18.49","18.54","18.48","18.31","17.64","15.40","16.19","16.32","16.11","15.88","15.61","16.49","15.94","15.90","15.95","15.48","15.51","14.71","14.60"
"Austria","16.89","15.39","16.13","15.81","15.55","14.96","14.69","14.34","14.37","14.51","14.32","14.00","13.76","14.39","14.09","13.78","13.67","13.03","13.62","13.51","13.29","13.38"
"Azerbaijan","4.59","5.77","3.29","2.68","2.82","3.29","3.37","3.11","2.82","3.05","2.82","3.17","3.28","2.75","3.49","3.43","3.96","3.56","3.57","3.19","4.80","4.75"
"Bahamas","13.75","15.40","15.03","15.41","15.98","14.19","12.84","14.21","14.02","14.06","13.90","15.44","15.01","14.47","13.50","12.73","12.86","13.04","13.16","12.95","13.24","12.66"
"Bahrain","8.69","8.67","7.06","7.23","7.98","8.53","8.87","10.09","8.46","8.30","8.05","8.23","11.17","8.83","9.07","8.94","9.14","9.04","8.76","8.22","9.03","10.27"
"Bangladesh","3.08","3.08","3.30","3.75","4.11","4.10","3.38","3.59","3.62","4.02","4.18","4.44","4.12","3.84","5.08","4.73","4.39","4.87","4.76","4.54","3.58","5.21"
